Splits	Weights	INOUYE_D_Dem	COCHRAN_W_Rep	BAUCUS_M_Dem	DODD_C_Dem	GRASSLEY_C_Rep	HARKIN_T_Dem	LEAHY_P_Dem	AKAKA_D_Dem	MIKULSKI_B_Dem	HATCH_O_Rep	LUGAR_R_Rep	NELSON_C_Dem	SNOWE_O_Rep	LEVIN_C_Dem	DORGAN_B_Dem	GREGG_J_Rep	ROBERTS_C_Rep	SCHUMER_C_Dem	WYDEN_R_Dem	BINGAMAN_J_Dem	LAUTENBERG_F_Dem	KERRY_J_Dem	McCONNELL_A_Rep	ROCKEFELLER_J_Dem	BOXER_B_Dem	CARPER_T_Dem	DURBIN_R_Dem	McCAIN_J_Rep	REID_H_Dem	BUNNING_J_Rep	CARDIN_B_Dem	INHOFE_J_Rep	JOHNSON_T_Dem	KYL_J_Rep	BOND_C_Rep	CONRAD_K_Dem	KOHL_H_Dem	LIEBERMAN_J_Dem	REED_J_Dem	SANDERS_B_Ind	LINCOLN_B_Dem	CRAPO_M_Rep	MENENDEZ_R_Dem	BROWN_S_Dem	CHAMBLISS_S_Rep	BROWNBACK_S_Rep	WICKER_R_Rep	ENSIGN_J_Rep	BURR_R_Rep	COBURN_T_Rep	GRAHAM_L_Rep	STABENOW_D_Dem	THUNE_J_Rep	UDALL_M_Dem	ISAKSON_J_Rep	VITTER_D_Rep	UDALL_T_Dem	DeMINT_J_Rep	CANTWELL_M_Dem	NELSON_E_Dem	MURKOWSKI_L_Rep	PRYOR_M_Dem	ALEXANDER_L_Rep	CORNYN_J_Rep	KLOBUCHAR_A_Dem	McCASKILL_C_Dem	TESTER_J_Dem	CASEY_R_Dem	WHITEHOUSE_S_Dem	CORKER_R_Rep	WEBB_J_Dem	BARRASSO_J_Rep	BEGICH_M_Dem	RISCH_J_Rep	JOHANNS_M_Rep	SHAHEEN_J_Dem	HAGAN_K_Dem	MERKLEY_J_Dem	WARNER_M_Dem	FEINSTEIN_D_Dem	HUTCHISON_K_Rep	BENNETT_R_Rep	MURRAY_P_Dem	FEINGOLD_R_Dem	SESSIONS_J_Rep	LANDRIEU_M_Dem	COLLINS_S_Rep	ENZI_M_Rep	BAYH_E_Dem	VOINOVICH_G_Rep	SHELBY_R_Rep	OBAMA_B_Dem
38	1.399955	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
39	.152866	1	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
40	1.063421	1	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
41	1.427798	1	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	19.631437	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
43	5.133731	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
44	.430074	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
45	10.508069	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
46	.126829	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
47	3.351555	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
48	19.982178	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
49	.347574	1	0	1	1	0	1	1	1	1	0	0	1	0	1	0	0	0	1	0	1	1	1	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0
50	3.234565	1	0	1	1	0	1	1	1	1	0	0	1	0	1	0	0	0	1	0	1	1	1	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0
51	1.14028	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
52	.473354	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
53	32.33012	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
54	.358544	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
55	12.742644	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
